participant_id,survey_type,outside_activity_engagement,outside_activity_frequency,days_checked_for_smoke_info,reduced_outdoor_activities_due_to_smoke,consecutive_days_reduced_outdoor_activity,min_aqi_reduce_activity,min_aqi_eliminate_activity,motivating_info_to_reduce_outdoor_activity
Participant 488,online,Yes – Please list the activities __________________,Daily,2 days,Yes,1 to 2 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 489,in_person,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 489,online,Yes – Please list the activities __________________,A few times per week,4-5 days,No,0 days,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 49,in_person,Yes – Please list the activities __________________,Daily,0 days,Yes,1 to 2 days,Purple – Very Unhealthy,Maroon – Hazardous,Smoke forecasts
Participant 49,online,Yes – Please list the activities __________________,Daily,6-7 days,Yes,5 days,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 490,in_person,Yes – Please list the activities __________________,Daily,4-5 days,No,0 days,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 490,online,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",4-5 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 491,in_person,Yes – Please list the activities __________________,A few times per week,1 days,Yes,1 to 2 days,Yellow – Moderate,Red – Unhealthy,Air quality information
Participant 491,online,Yes – Please list the activities __________________,A few times per week,1 days,Yes,5 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 492,in_person,Yes – Please list the activities __________________,Daily,6-7 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Maroon – Hazardous,Your own visual observation (seeing the smoke outside)
Participant 492,online,Yes – Please list the activities __________________,A few times per week,2 days,Yes,1 to 2 days,Red – Unhealthy,Purple – Very Unhealthy,Smoke-related health problem statistics
Participant 493,in_person,Yes – Please list the activities __________________,Daily,2 days,No,0 days,Purple – Very Unhealthy,Maroon – Hazardous,Air quality information
Participant 493,online,Yes – Please list the activities __________________,Daily,3 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 494,in_person,Yes – Please list the activities __________________,A few times per week,1 days,Yes,5 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 494,online,Yes – Please list the activities __________________,A few times per week,,Yes,1 to 2 days,Red – Unhealthy,Maroon – Hazardous,Air quality information
Participant 495,in_person,Yes – Please list the activities __________________,Daily,0 days,Yes,5 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 495,online,,,,,,,,
Participant 496,in_person,Yes – Please list the activities __________________,Daily,6-7 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 496,online,Yes – Please list the activities __________________,Daily,3 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 497,in_person,Yes – Please list the activities __________________,A few times per week,0 days,No,1 to 2 days,Purple – Very Unhealthy,Maroon – Hazardous,Your own visual observation (seeing the smoke outside)
Participant 497,online,Yes – Please list the activities __________________,A few times per week,2 days,Yes,1 to 2 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 498,in_person,Yes – Please list the activities __________________,Daily,0 days,Yes,0 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Advice from family and friends
Participant 498,online,Yes – Please list the activities __________________,Rarely – A few times during the summer,2 days,No,0 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 499,in_person,Yes – Please list the activities __________________,Daily,1 days,Yes,0 days,Maroon – Hazardous,Maroon – Hazardous,Smoke-related health problem statistics
Participant 499,online,Yes – Please list the activities __________________,A few times per week,1 days,No,0 days,Maroon – Hazardous,Maroon – Hazardous,Wildfire information
Participant 5,in_person,Yes – Please list the activities __________________,A few times per week,3 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 5,online,Yes – Please list the activities __________________,Once per week,0 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 50,in_person,Yes – Please list the activities __________________,Daily,0 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Green – Good,Smoke-related health problem statistics
Participant 50,online,Yes – Please list the activities __________________,Daily,1 days,No,0 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 500,in_person,Yes – Please list the activities __________________,A few times per week,,No,0 days,Maroon – Hazardous,Maroon – Hazardous,Advice from family and friends
Participant 500,online,Yes – Please list the activities __________________,A few times per week,,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Your own visual observation (seeing the smoke outside)
Participant 501,in_person,Yes – Please list the activities __________________,A few times per week,0 days,No,0 days,,,Your own visual observation (seeing the smoke outside)
Participant 501,online,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,1 to 2 days,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 502,in_person,Yes – Please list the activities __________________,A few times per week,0 days,No,0 days,Purple – Very Unhealthy,Maroon – Hazardous,
Participant 502,online,Yes – Please list the activities __________________,Once per week,1 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 503,in_person,Yes – Please list the activities __________________,A few times per week,1 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Wildfire information
Participant 503,online,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 504,in_person,Yes – Please list the activities __________________,Once per week,0 days,No,0 days,Purple – Very Unhealthy,Purple – Very Unhealthy,Smoke-related health problem statistics
Participant 504,online,Yes – Please list the activities __________________,A few times per week,2 days,Yes,4 days,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 505,in_person,Yes – Please list the activities __________________,Once per week,0 days,Yes,5 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 505,online,Yes – Please list the activities __________________,A few times per week,2 days,Yes,5 days,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 506,in_person,Yes – Please list the activities __________________,A few times per week,1 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 506,online,Yes – Please list the activities __________________,Once per week,6-7 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 507,in_person,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",3 days,Yes,1 to 2 days,Red – Unhealthy,Maroon – Hazardous,Your own visual observation (seeing the smoke outside)
Participant 507,online,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,5 days,Red – Unhealthy,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 508,in_person,Yes – Please list the activities __________________,Daily,,No,0 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
