participant_id,reduced_outdoor_activities_due_to_smoke,outside_activity_frequency,min_aqi_reduce_activity,min_aqi_eliminate_activity
Participant 768,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 769,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 77,No,Daily,"301+:
Hazardous","301+:
Hazardous"
Participant 77,No,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 770,No,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 771,Yes,~1 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 772,No,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 773,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 774,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 775,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 776,Yes,~3 per week,"51-100:
Moderate","151-200:
Unhealthy"
Participant 777,No,~1-3 per month,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 778,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 779,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 78,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 78,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 780,No,~3 per week,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 782,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 783,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 784,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 785,Yes,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 787,Yes,~1-3 per month,"51-100:
Moderate","151-200:
Unhealthy"
Participant 788,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 79,Yes,~3 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 79,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 790,No,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 791,No,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 792,Yes,~1 per week,"51-100:
Moderate","151-200:
Unhealthy"
Participant 793,No,~3 per week,"151-200:
Unhealthy","301+:
Hazardous"
Participant 794,No,~1-3 per month,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 795,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 796,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 797,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 798,Yes,Daily,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 799,Yes,~3 per week,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 8,No,~3 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 8,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 80,Yes,~1 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 80,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 800,Yes,Daily,"201-300:
Very Unhealthy","151-200:
Unhealthy"
Participant 801,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 802,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 803,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 804,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 806,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 807,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 808,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 809,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 81,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 810,Yes,~3 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 812,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 813,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 814,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 815,No,~1-3 per month,"151-200:
Unhealthy","301+:
Hazardous"
Participant 816,Yes,~1-3 per month,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 817,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 819,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 82,No,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 82,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 822,Yes,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 823,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 824,Yes,~1 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 826,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 827,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 829,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 83,No,~3 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 83,Yes,~1 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 830,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 831,No,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 833,No,Daily,"301+:
Hazardous","301+:
Hazardous"
Participant 834,Yes,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 836,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 837,Yes,~1 per week,"51-100:
Moderate","51-100:
Moderate"
Participant 838,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 84,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 840,Yes,Daily,"151-200:
Unhealthy","301+:
Hazardous"
Participant 841,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 842,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 843,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 844,Yes,~3 per week,"51-100:
Moderate","51-100:
Moderate"
Participant 845,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 846,No,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 847,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 848,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 849,No,~3 per week,"301+:
Hazardous","301+:
Hazardous"
Participant 85,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 85,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 850,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 851,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 852,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 854,Yes,Daily,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 855,No,Daily,"301+:
Hazardous","301+:
Hazardous"
Participant 856,No,Daily,"301+:
Hazardous","301+:
Hazardous"
Participant 857,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 858,Yes,~3 per week,"201-300:
Very Unhealthy","151-200:
Unhealthy"
Participant 859,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","301+:
Hazardous"
Participant 86,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 86,Yes,~3 per week,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 860,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 861,No,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 862,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 863,Yes,Daily,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 864,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 865,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 866,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 867,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 868,Yes,~1 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 869,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 87,No,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 87,No,~3 per week,"301+:
Hazardous","301+:
Hazardous"
Participant 870,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 872,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 873,Yes,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 874,Yes,~3 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 875,No,~1-3 per month,I am not familiar with this rating,I am not familiar with this rating
Participant 876,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 877,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 878,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 879,Yes,Daily,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 88,Yes,~3 per week,"51-100:
Moderate","51-100:
Moderate"
Participant 88,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 880,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 881,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 882,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 885,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 886,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 887,No,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 888,No,Daily,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 889,No,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 89,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 89,Yes,~1-3 per month,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 890,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 891,Yes,~1-3 per month,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 892,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 893,Yes,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 894,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 895,No,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 896,No,~1-3 per month,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 897,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 898,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 899,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 9,Yes,~1-3 per month,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 9,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 90,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 90,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 900,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 901,No,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 902,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 903,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 904,Yes,~1 per week,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 905,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 906,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 907,Yes,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 908,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 909,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 91,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 91,No,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 910,Yes,~1-3 per month,"51-100:
Moderate","51-100:
Moderate"
Participant 911,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 912,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 913,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 914,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 915,Yes,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 916,Yes,~3 per week,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 917,Yes,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 918,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 919,Yes,~3 per week,"151-200:
Unhealthy","101-150:
Unhealthy for
 Sensitive Grps."
Participant 92,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 920,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 921,No,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 922,Yes,~1-3 per summer,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 923,Yes,~1-3 per summer,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 924,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 925,No,Daily,"151-200:
Unhealthy","301+:
Hazardous"
Participant 926,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 927,Yes,Daily,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 928,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 929,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 93,Yes,~3 per week,"51-100:
Moderate","151-200:
Unhealthy"
Participant 93,Yes,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 930,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 931,No,Daily,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 932,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 933,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 934,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 935,No,~1 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 936,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 937,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 938,No,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 939,No,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 94,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 94,Yes,Daily,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 940,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 941,No,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 942,Yes,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 943,Yes,Daily,"51-100:
Moderate","151-200:
Unhealthy"
Participant 944,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 945,No,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 947,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 948,No,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 949,Yes,Daily,I am not familiar with this rating,I am not familiar with this rating
Participant 95,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 95,Yes,Daily,"51-100:
Moderate","51-100:
Moderate"
Participant 950,Yes,~1 per week,"51-100:
Moderate","51-100:
Moderate"
Participant 951,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 952,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 953,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 954,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 956,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 957,No,~1-3 per month,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 958,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 959,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 96,No,~3 per week,"301+:
Hazardous","301+:
Hazardous"
Participant 96,Yes,~1 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 960,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 961,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 962,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 963,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 964,No,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 965,No,~1-3 per month,"301+:
Hazardous","201-300:
Very Unhealthy"
Participant 966,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 967,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 968,Yes,~1-3 per month,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 969,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 97,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 97,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 970,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 971,Yes,~3 per week,"301+:
Hazardous","301+:
Hazardous"
Participant 972,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 974,No,Daily,"151-200:
Unhealthy","301+:
Hazardous"
Participant 975,Yes,~1-3 per summer,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 976,No,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 977,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 978,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 979,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 98,No,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 98,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 980,No,~1-3 per month,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 981,No,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 982,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 983,Yes,~1 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 984,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 985,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 986,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 987,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 988,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 989,No,Daily,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 99,No,Daily,I am not familiar with this rating,I am not familiar with this rating
Participant 99,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 991,Yes,Daily,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 992,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 993,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 994,Yes,Daily,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 995,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 997,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 998,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 999,No,Daily,I am not familiar with this rating,I am not familiar with this rating
